date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
14:45:09	196708/196708	---MCZ	200	added ('OK')	text/html	date:Wed,%2008%20Apr%202026%2014:03:43%20GMT	https://roomguide.kr/	./roomguide_clone/roomguide.kr/index.html	(from )
14:45:10	2448/2448	---M--	200	added ('OK')	application/json	date:Thu,%2009%20Apr%202026%2005:45:10%20GMT	https://roomguide.kr/wp-json/oembed/1.0/embed?url=https%3A%2F%2Froomguide.kr%2F	./roomguide_clone/roomguide.kr/wp-json/oembed/1.0/embedc739.json	(from https://roomguide.kr/)
14:45:11	1008/1008	---M--	200	added ('OK')	application/rss+xml	date:Sat,%2019%20Jul%202025%2003:52:00%20GMT	https://roomguide.kr/feed/	./roomguide_clone/roomguide.kr/feed/index.html	(from https://roomguide.kr/)
14:45:11	687/687	---M--	200	added ('OK')	application/rss+xml	date:Sat,%2019%20Jul%202025%2003:52:00%20GMT	https://roomguide.kr/comments/feed/	./roomguide_clone/roomguide.kr/comments/feed/index.html	(from https://roomguide.kr/)
14:45:13	2730/2730	---MCZ	200	added ('OK')	text/xml	date:Thu,%2009%20Apr%202026%2005:45:12%20GMT	https://roomguide.kr/wp-json/oembed/1.0/embed?url=https%3A%2F%2Froomguide.kr%2F&format=xml	./roomguide_clone/roomguide.kr/wp-json/oembed/1.0/embedbdd8	(from https://roomguide.kr/)
14:45:13	132/132	---M--	200	added ('OK')	text/css	date:Wed,%2025%20Dec%202024%2000:18:51%20GMT	https://roomguide.kr/wp-content/plugins/bricks-advanced-themer/assets/css/bricks-advanced-themer.css?ver=1735085931	./roomguide_clone/roomguide.kr/wp-content/plugins/bricks-advanced-themer/assets/css/bricks-advanced-themer1c86.css	(from https://roomguide.kr/)
14:45:15	59004/59004	---MCZ	200	added ('OK')	text/css	date:Wed,%2003%20Dec%202025%2012:58:27%20GMT	https://roomguide.kr/wp-includes/css/dashicons.min.css?ver=844c8d9f2d3bd8db4ea261800fed7208	./roomguide_clone/roomguide.kr/wp-includes/css/dashicons.mine37e.css	(from https://roomguide.kr/)
14:45:15	1058/1058	---M--	200	added ('OK')	text/css	date:Wed,%2025%20Dec%202024%2000:18:52%20GMT	https://roomguide.kr/wp-content/plugins/post-views-counter/css/frontend.min.css?ver=1.4.8	./roomguide_clone/roomguide.kr/wp-content/plugins/post-views-counter/css/frontend.minb493.css	(from https://roomguide.kr/)
14:45:18	134460/134460	---MCZ	200	added ('OK')	text/css	date:Mon,%2027%20Oct%202025%2012:22:45%20GMT	https://roomguide.kr/wp-content/themes/bricks/assets/css/frontend-layer.min.css?ver=1761567765	./roomguide_clone/roomguide.kr/wp-content/themes/bricks/assets/css/frontend-layer.min70be.css	(from https://roomguide.kr/)
14:45:18	238004/238004	---M--	200	added ('OK')	text/html	date:Wed,%2025%20Dec%202024%2000:18:53%20GMT	https://roomguide.kr/wp-content/uploads/noto-sans-kr-v27-latin_korean-300.woff2	./roomguide_clone/roomguide.kr/wp-content/uploads/noto-sans-kr-v27-latin_korean-300.html	(from https://roomguide.kr/)
14:45:19	260/260	---M--	200	added ('OK')	text/css	date:Wed,%2025%20Dec%202024%2000:18:50%20GMT	https://roomguide.kr/wp-content/themes/bricks-child/style.css?ver=1735085930	./roomguide_clone/roomguide.kr/wp-content/themes/bricks-child/styled397.css	(from https://roomguide.kr/)
14:45:19	434188/434188	---M--	200	added ('OK')	text/html	date:Wed,%2025%20Dec%202024%2000:18:52%20GMT	https://roomguide.kr/wp-content/uploads/GmarketSansLight.woff2	./roomguide_clone/roomguide.kr/wp-content/uploads/GmarketSansLight.html	(from https://roomguide.kr/)
14:45:21	27774/27774	---MCZ	200	added ('OK')	text/css	date:Mon,%2027%20Oct%202025%2012:22:45%20GMT	https://roomguide.kr/wp-content/themes/bricks/assets/css/libs/ionicons-layer.min.css?ver=1761567765	./roomguide_clone/roomguide.kr/wp-content/themes/bricks/assets/css/libs/ionicons-layer.min70be.css	(from https://roomguide.kr/)
14:45:22	186891/186891	---M--	200	added ('OK')	image/jpeg	date:Fri,%2010%20Jan%202025%2016:38:45%20GMT	https://roomguide.kr/wp-content/uploads/gn-1920-bg-3.jpg	./roomguide_clone/roomguide.kr/wp-content/uploads/gn-1920-bg-3.jpg	(from https://roomguide.kr/)
14:45:23	52818/52818	---MCZ	200	added ('OK')	text/css	date:Tue,%2014%20Jan%202025%2017:30:22%20GMT	https://roomguide.kr/wp-content/plugins/core-framework/assets/public/css/core_framework.css?ver=1736875822	./roomguide_clone/roomguide.kr/wp-content/plugins/core-framework/assets/public/css/core_framework6e92.css	(from https://roomguide.kr/)
14:45:23	388/388	---M--	200	added ('OK')	text/css	date:Wed,%2015%20Jan%202025%2023:15:10%20GMT	https://roomguide.kr/wp-content/uploads/fancy-animations/cache/props.css?ver=1736982910	./roomguide_clone/roomguide.kr/wp-content/uploads/fancy-animations/cache/propsb66e.css	(from https://roomguide.kr/)
14:45:25	204679/204679	---MCZ	200	added ('OK')	text/css	date:Wed,%2015%20Jan%202025%2023:15:10%20GMT	https://roomguide.kr/wp-content/uploads/fancy-animations/cache/all.css?ver=1736982910	./roomguide_clone/roomguide.kr/wp-content/uploads/fancy-animations/cache/allb66e.css	(from https://roomguide.kr/)
14:45:25	531/531	---M--	200	added ('OK')	application/javascript	date:Fri,%2031%20Jan%202025%2010:21:17%20GMT	https://roomguide.kr/wp-content/cache/min/1/wp-content/plugins/bricks-advanced-themer/assets/js/darkmode-local-storage.js?ver=1738318877	./roomguide_clone/roomguide.kr/wp-content/cache/min/1/wp-content/plugins/bricks-advanced-themer/assets/js/darkmode-local-storage24ef.js	(from https://roomguide.kr/)
14:45:26	1956/1956	---M--	200	added ('OK')	application/json	date:Thu,%2009%20Apr%202026%2005:45:26%20GMT	https://roomguide.kr/wp-json/wp/v2/pages/18	./roomguide_clone/roomguide.kr/wp-json/wp/v2/pages/18.json	(from https://roomguide.kr/)
14:45:27	199/199	---M--	403	error ('Forbidden')	text/html	date:Thu,%2009%20Apr%202026%2005:45:27%20GMT	https://roomguide.kr/xmlrpc.php?rsd	./roomguide_clone/roomguide.kr/xmlrpc0db0.php	(from https://roomguide.kr/)
14:45:29	12704/12704	---MCZ	200	added ('OK')	text/css	date:Wed,%2025%20Dec%202024%2000:18:52%20GMT	https://roomguide.kr/wp-content/uploads/wpcodebox/1.css?v=2de0de673cfa1253	./roomguide_clone/roomguide.kr/wp-content/uploads/wpcodebox/1c8c0.css	(from https://roomguide.kr/)
14:45:29	296104/296104	---MC-	200	added ('OK')	application/json	date:Thu,%2009%20Apr%202026%2005:45:27%20GMT	https://roomguide.kr/wp-json/	./roomguide_clone/roomguide.kr/wp-json/index.html	(from https://roomguide.kr/)
14:45:29	194/194	---M--	200	added ('OK')	text/css	date:Wed,%2025%20Dec%202024%2000:18:52%20GMT	https://roomguide.kr/wp-content/uploads/wpcodebox/2.css?v=2a4d61bdca3ee475	./roomguide_clone/roomguide.kr/wp-content/uploads/wpcodebox/20e02.css	(from https://roomguide.kr/)
14:45:31	1830/1830	---MCZ	200	added ('OK')	application/javascript	date:Fri,%2031%20Jan%202025%2010:21:17%20GMT	https://roomguide.kr/wp-content/cache/min/1/analytics.js?ver=1738318877	./roomguide_clone/roomguide.kr/wp-content/cache/min/1/analytics24ef.js	(from https://roomguide.kr/)
14:45:31	872/872	---M--	200	added ('OK')	image/png	date:Sun,%2012%20Jan%202025%2001:07:51%20GMT	https://roomguide.kr/wp-content/uploads/cropped-gn-roomguide-32x32.png	./roomguide_clone/roomguide.kr/wp-content/uploads/cropped-gn-roomguide-32x32.png	(from https://roomguide.kr/)
14:45:32	6310/6310	---M--	200	added ('OK')	image/png	date:Sun,%2012%20Jan%202025%2001:07:51%20GMT	https://roomguide.kr/wp-content/uploads/cropped-gn-roomguide-192x192.png	./roomguide_clone/roomguide.kr/wp-content/uploads/cropped-gn-roomguide-192x192.png	(from https://roomguide.kr/)
14:45:33	5813/5813	---M--	200	added ('OK')	image/png	date:Sun,%2012%20Jan%202025%2001:07:51%20GMT	https://roomguide.kr/wp-content/uploads/cropped-gn-roomguide-180x180.png	./roomguide_clone/roomguide.kr/wp-content/uploads/cropped-gn-roomguide-180x180.png	(from https://roomguide.kr/)
14:45:35	3626/3626	---MCZ	200	added ('OK')	text/css	date:Mon,%2027%20Oct%202025%2012:22:45%20GMT	https://roomguide.kr/wp-content/themes/bricks/assets/css/libs/splide-layer.min.css?ver=1761567765	./roomguide_clone/roomguide.kr/wp-content/themes/bricks/assets/css/libs/splide-layer.min70be.css	(from https://roomguide.kr/)
